id;task_id;task_name;task_status;price;approve;name
1;52368;Lead Bergnaum Classical;female Loan;94522;true;Pizza
2;7849;ah kelvin;Gaithersburg Bicycle;25237;true;wicked Latin Fresh
3;93563;clap bypassing Mazda;Gloves Karlee CLI;63131;false;Incredible bypass
4;23474;Future Northwest;Leuschke whoa card;31328;false;Hybrid
5;64831;Idaho bluetooth trained;male Port;93976;true;blue animated firmware
6;82036;array regional Casa;Topeka;24823;true;global
7;5729;pink unleash;can;87644;true;Soft Lutetium Northeast
8;91037;ASCII Triathlon/Time;upgrade Yen Specialist;14061;true;Tricycle relationships North
9;39106;Garden redundant Platinum;lavender National;19028;false;infrastructures each Checking
10;6858;wireless Cruiser;Chief Hip;70247;false;Savings West open
